"TimeMin","Mean_light","Mean_difference","SD_light","SD_difference","Lower_light","Lower_difference","Upper_light","Upper_difference"
0.7765302784,-0.0116994595807988,NA,8.16507918495781e-05,NA,-0.0117811103726484,NA,-0.0116178087889492,NA
0.7825969212,-0.0118174646069112,NA,6.8312739084905e-05,NA,-0.0118857773459961,NA,-0.0117491518678263,NA
0.788663564,-0.0119365732248397,NA,5.36601828729388e-05,NA,-0.0119902334077127,NA,-0.0118829130419668,NA
0.7947302068,-0.0120567224638313,NA,3.77722189615268e-05,NA,-0.0120944946827928,NA,-0.0120189502448698,NA
0.8007968496,-0.0121778503033752,NA,2.07268434004949e-05,NA,-0.0121985771467757,NA,-0.0121571234599747,NA
0.8068634924,-0.0122998949362415,NA,2.60123392620399e-06,NA,-0.0123024961701677,NA,-0.0122972937023153,NA
0.8129301352,-0.0124227933108432,NA,1.6524953689152e-05,NA,-0.0124393182645323,NA,-0.012406268357154,NA
0.818996778,-0.0125464845467017,NA,3.65759033748005e-05,NA,-0.0125830604500765,NA,-0.0125099086433269,NA
0.8250634208,-0.0126709051305785,NA,5.74714855001712e-05,NA,-0.0127283766160787,NA,-0.0126134336450783,NA
0.8311300636,-0.0127959937442767,NA,7.91349842304993e-05,NA,-0.0128751287285072,NA,-0.0127168587600462,NA
0.8371967064,-0.0129216877339973,NA,0.000101487739489178,NA,-0.0130231754734865,NA,-0.0128201999945081,NA
0.8432633492,-0.0130479250234054,NA,0.000124451735762966,NA,-0.0131723767591684,NA,-0.0129234732876424,NA
0.849329992,-0.0131746435976053,NA,0.000147949401909959,NA,-0.0133225929995152,NA,-0.0130266941956953,NA
0.8553966348,-0.0133017808785257,NA,0.000171901885093401,NA,-0.0134736827636191,NA,-0.0131298789934323,NA
0.8614632776,-0.0134292752320959,NA,0.000196232176896059,NA,-0.0136255074089919,NA,-0.0132330430551998,NA
0.8675299204,-0.0135570639303314,NA,0.000220861337895682,NA,-0.0137779252682271,NA,-0.0133362025924357,NA
0.8735965632,-0.0136850851007607,NA,0.000245711835617756,NA,-0.0139307969363785,NA,-0.013439373265143,NA
0.879663206,-0.0138132763978049,NA,0.000270705431738106,NA,-0.014083981829543,NA,-0.0135425709660668,NA
0.8857298488,-0.0139415756980384,NA,0.000295764105197515,NA,-0.0142373398032359,NA,-0.0136458115928409,NA
0.8917964916,-0.0140699207698892,NA,0.000320809877923728,NA,-0.0143907306478129,NA,-0.0137491108919654,NA
0.8978631344,-0.0141982495183666,NA,0.000345764712756112,NA,-0.0145440142311227,NA,-0.0138524848056105,NA
0.9039297772,-0.014326499545966,NA,0.000370550396581979,NA,-0.0146970499425479,NA,-0.013955949149384,NA
0.90999642,-0.0144546089151552,NA,0.000395089185970079,NA,-0.0148496981011252,NA,-0.0140595197291851,NA
0.9160630628,-0.0145825152032761,NA,0.00041930273915689,NA,-0.015001817942433,NA,-0.0141632124641192,NA
0.9221297056,-0.0147101563642389,NA,0.000443113225652697,NA,-0.0151532695898916,NA,-0.0142670431385862,NA
0.9281963484,-0.0148374702362583,NA,0.000466442632770452,NA,-0.0153039128690287,NA,-0.0143710276034878,NA
0.9342629912,-0.0149643943620771,NA,0.000489212561982002,NA,-0.0154536069240592,NA,-0.0144751818000951,NA
0.940329634,-0.0150908671393505,NA,0.000511345804544362,NA,-0.0156022129438948,NA,-0.0145795213348061,NA
0.9463962768,-0.0152168253972962,NA,0.000532762930299759,NA,-0.015749588327596,NA,-0.0146840624669965,NA
0.9524629196,-0.0153422079940337,NA,0.00055338739759034,NA,-0.0158955953916241,NA,-0.0147888205964434,NA
0.9585295624,-0.0154669519608077,NA,0.000573140062715086,NA,-0.0160400920235228,NA,-0.0148938118980926,NA
0.9645962052,-0.0155909955422837,NA,0.000591943489100515,NA,-0.0161829390313842,NA,-0.0149990520531832,NA
0.970662848,-0.0157142765470499,NA,0.00060971968634989,NA,-0.0163239962333997,NA,-0.0151045568607,NA
0.9767294908,-0.0158367322831547,NA,0.000626389821952748,NA,-0.0164631221051074,NA,-0.0152103424612019,NA
0.9827961336,-0.0159583016504618,NA,0.000641877528326321,NA,-0.0166001791787881,NA,-0.0153164241221354,NA
0.9888627764,-0.0160789206950714,NA,0.00065610214591715,NA,-0.0167350228409885,NA,-0.0154228185491542,NA
0.9949294192,-0.016198529075952,NA,0.000668988340624172,NA,-0.0168675174165762,NA,-0.0155295407353279,NA
1.000996062,-0.0163170632823395,NA,0.000680456174159718,NA,-0.0169975194564992,NA,-0.0156366071081798,NA
1.0070627048,-0.0164344618409237,NA,0.000690428589948989,NA,-0.0171248904308727,NA,-0.0157440332509747,NA
1.0131293476,-0.016550662539398,NA,0.000698827633803055,NA,-0.017249490173201,NA,-0.0158518349055949,NA
1.0191959904,-0.0166656024421058,NA,0.000705574025703741,NA,-0.0173711764678096,NA,-0.0159600284164021,NA
1.0252626332,-0.0167792209606847,NA,0.000710592251968671,NA,-0.0174898132126534,NA,-0.016068628708716,NA
1.031329276,-0.0168914533482757,NA,0.000713800411301353,NA,-0.0176052537595771,NA,-0.0161776529369744,NA
1.0373959188,-0.0170022400698947,NA,0.000715124382939586,NA,-0.0177173644528343,NA,-0.0162871156869551,NA
1.0434625616,-0.0171115170768567,NA,0.000714483441358795,NA,-0.0178260005182155,NA,-0.0163970336354979,NA
1.0495292044,-0.0172192231691436,NA,0.000711800896065615,NA,-0.0179310240652092,NA,-0.016507422273078,NA
1.0555958472,-0.0173252961222867,NA,0.000706998842997751,NA,-0.0180322949652845,NA,-0.016618297279289,NA
1.06166249,-0.0174296727479152,NA,0.000699997541102464,NA,-0.0181296702890176,NA,-0.0167296752068127,NA
1.0677291328,-0.0175322929763868,NA,0.000690722339638176,NA,-0.018223015316025,NA,-0.0168415706367487,NA
1.0737957756,-0.0176331181855436,NA,0.000679128164453775,NA,-0.0183122463499974,NA,-0.0169539900210898,NA
1.0798624184,-0.0177327093501734,NA,0.000666018499969416,NA,-0.0183987278501428,NA,-0.0170666908502039,NA
1.0859290612,-0.0178313196156248,NA,0.00065176117583181,NA,-0.0184830807914566,NA,-0.017179558439793,NA
1.091995704,-0.0179289604614144,NA,0.000636382263949747,NA,-0.0185653427253642,NA,-0.0172925781974647,NA
1.0980623468,-0.0180256426521685,NA,0.000619907151324405,NA,-0.0186455498034929,NA,-0.0174057355008441,NA
1.1041289896,-0.0181213766019528,NA,0.000602360082040336,NA,-0.0187237366839932,NA,-0.0175190165199125,NA
1.1101956324,-0.0182161741160031,NA,0.000583768180358661,NA,-0.0187999422963618,NA,-0.0176324059356445,NA
1.1162622752,-0.0183100445552204,NA,0.000564154113228928,NA,-0.0188741986684494,NA,-0.0177458904419915,NA
